Firmware v0.1
<timeMS>, <accelX>, <accelY>, <accelZ>, <gyroX>, <gyroY>, <gyroZ>, <magX>, <magY>, <magZ>
1504, 0.45, 0.94, -0.33, 57.62, 34.57, 8.17, -54.46, -22.51, -9.60
1596, 0.49, 0.98, -0.33, 64.33, 32.32, 9.51, -52.06, -24.91, -12.90
1605, 0.49, 1.01, -0.42, 62.50, 27.80, 10.24, -51.31, -26.26, -13.35
1615, 0.48, 0.97, -0.33, 52.74, 17.20, 15.55, -49.81, -25.51, -13.95
1624, 0.47, 0.96, -0.40, 40.98, 1.16, 23.23, -51.31, -26.71, -13.35
1633, 0.44, 0.93, -0.42, 14.21, -4.21, 31.34, -49.81, -24.16, -13.65
1643, 0.45, 0.91, -0.56, -22.62, -1.28, 39.02, -49.51, -26.71, -12.90
1652, 0.50, 1.02, -0.38, -45.12, 12.56, 44.21, -49.36, -25.06, -14.25
1661, 0.44, 0.79, -0.31, -30.06, 12.13, 57.44, -49.36, -25.81, -14.25
1671, 0.37, 0.71, -0.40, -0.06, 3.54, 57.62, -48.91, -25.06, -12.75
1680, 0.50, 0.83, -0.41, 16.28, 7.50, 60.00, -48.91, -25.06, -12.75
1690, 0.57, 0.95, -0.44, 88.78, -10.55, 52.74, -48.91, -26.11, -13.80
1699, 0.50, 0.79, -0.31, 95.55, -10.24, 47.13, -49.06, -24.91, -13.35
1708, 0.52, 0.75, -0.40, 106.40, -3.48, 42.44, -49.51, -27.46, -14.40
1718, 0.46, 0.40, -0.27, 112.74, 0.18, 36.22, -48.91, -26.56, -14.25
1750, 0.48, 0.69, -0.35, 103.11, 2.68, 26.89, -48.01, -26.26, -12.30
1759, 0.47, 0.88, -0.32, 89.02, 2.87, 20.18, -48.31, -25.51, -11.55
1768, 0.46, 0.52, -0.51, 62.50, 0.24, 37.20, -49.66, -25.36, -13.50
1778, 0.47, 0.73, -0.40, 28.72, 8.17, 19.51, -48.31, -25.96, -12.90
1787, 0.49, 0.73, -0.46, 10.24, 13.41, 12.20, -49.96, -25.36, -14.25
1796, 0.52, 0.77, -0.46, 3.35, 17.87, 9.94, -49.51, -27.01, -13.65
1805, 0.63, 0.53, -0.53, 14.15, 15.98, 24.27, -48.61, -27.61, -12.75
1815, 0.83, 0.16, -0.70, 26.65, 7.13, 40.30, -49.36, -25.81, -12.45
1824, 0.77, 1.58, -0.16, 43.96, 9.82, 48.23, -48.91, -25.81, -11.70
1833, 0.45, 0.04, -0.65, 61.40, -10.37, 100.98, -49.36, -25.81, -12.00
1843, 0.46, 0.31, -0.61, 73.66, -3.60, 46.16, -47.86, -26.86, -11.70
1852, 0.56, 0.75, -0.48, 74.63, 10.18, 12.74, -48.01, -27.46, -12.30
1861, 0.52, 0.71, -0.33, 45.12, 16.65, 12.07, -49.06, -25.51, -12.60
1870, 0.48, 0.66, -0.36, 33.96, 11.28, 9.51, -49.06, -25.51, -12.60
1903, 0.52, 0.74, -0.42, 23.41, 9.82, 3.35, -47.86, -27.61, -12.45
1912, 0.53, 0.71, -0.42, 6.89, 14.21, 5.06, -46.96, -27.46, -12.30
1921, 0.54, 0.68, -0.45, 1.34, 15.67, 3.54, -47.11, -27.16, -12.75
1930, 0.61, 0.66, -0.47, 8.48, 14.51, 2.32, -47.11, -27.16, -12.75
1939, 0.60, 0.71, -0.53, 27.07, 14.33, 0.06, -47.41, -27.61, -12.75
1949, 0.59, 0.70, -0.51, 26.10, 10.85, 1.40, -48.76, -28.21, -12.90
1958, 0.58, 0.71, -0.48, 21.95, 5.61, 3.54, -48.01, -27.01, -12.60
1967, 0.58, 0.90, -0.44, 10.67, -0.67, 6.04, -47.11, -27.16, -11.70
1976, 0.56, 0.74, -0.48, -15.18, -4.27, 15.00, -46.66, -26.56, -11.70
1985, 0.57, 0.71, -0.48, -22.99, -7.50, 14.94, -48.76, -26.71, -11.55
1995, 0.58, 0.63, -0.51, -29.57, -9.02, 14.09, -48.31, -28.21, -12.90
2004, 0.58, 0.66, -0.49, -34.39, -7.01, 11.28, -49.81, -26.71, -11.25
2013, 0.58, 0.62, -0.54, -22.93, -6.83, 8.17, -47.86, -30.16, -9.60
2022, 0.57, 0.61, -0.55, -5.30, -3.60, 2.38, -47.71, -27.46, -11.55
2050, 0.61, 0.66, -0.54, 8.84, 1.89, -2.68, -45.61, -28.66, -10.65
2059, 0.64, 0.78, -0.52, 14.33, 3.60, 0.30, -48.61, -26.86, -9.30
2068, 0.58, 0.70, -0.43, -8.41, 2.68, 13.29, -47.26, -29.26, -9.00
2077, 0.60, 0.63, -0.54, -16.16, -0.91, 23.60, -47.41, -28.36, -11.40
2087, 0.58, 0.60, -0.50, -29.88, -0.85, 27.01, -47.26, -28.81, -10.20
